EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
3.8,allocate,2,2,1383,166.66666666666669,1.6666666666666667
3.8,allocate,5,2,1384,96.66666666666669,1.6666666666666667
3.8,allocate,0,2,1382,313.33333333333337,1.6666666666666667
3.8,allocate,9,2,1381,486.6666666666667,1.6666666666666667
3.8,allocate,3,2,1380,195.0,1.6666666666666667
3.8,allocate,6,2,1378,330.0,1.6666666666666667
3.8,allocate,1,2,1379,166.66666666666669,1.6666666666666667
4,allocate,3,5,4570,1950.0000000000002,16.666666666666668
4,allocate,0,5,4569,3133.3333333333335,16.666666666666668
4,allocate,9,5,4571,4866.666666666667,16.666666666666668
4.0,allocate,5,8,550,580.0,10.0
4,allocate,2,5,4572,1666.6666666666667,16.666666666666668
4.0,allocate,1,8,549,1000.0,10.0
4.0,allocate,2,8,548,1000.0,10.0
4.0,allocate,4,8,546,960.0,10.0
4.0,allocate,6,8,547,1980.0,10.0
4.0,allocate,8,8,551,860.0,10.0
4.8,allocate,9,9,1166,973.3333333333334,3.333333333333333
4.8,allocate,3,9,1168,390.0,3.333333333333333
4.8,allocate,2,9,1169,333.33333333333337,3.333333333333333
4.8,allocate,1,9,1167,333.33333333333337,3.333333333333333
4.8,allocate,7,9,1170,133.33333333333334,3.333333333333333
5.5,allocate,1,4,1386,166.66666666666669,1.6666666666666667
5.5,allocate,5,4,1391,96.66666666666669,1.6666666666666667
5.5,allocate,9,4,1388,486.6666666666667,1.6666666666666667
5.5,allocate,2,4,1390,166.66666666666669,1.6666666666666667
5.5,allocate,0,4,1389,313.33333333333337,1.6666666666666667
5.5,allocate,6,4,1385,330.0,1.6666666666666667
5.5,deallocate,2,2,1383,0.0,0.0
5.5,deallocate,5,2,1384,0.0,0.0
5.5,deallocate,0,2,1382,0.0,0.0
5.5,deallocate,9,2,1381,0.0,0.0
5.5,deallocate,3,2,1380,0.0,0.0
5.5,deallocate,1,2,1379,0.0,0.0
5.5,deallocate,6,2,1378,0.0,0.0
5.5,allocate,3,4,1387,195.0,1.6666666666666667
7.1,deallocate,5,4,1391,0.0,0.0
7.1,deallocate,0,4,1389,0.0,0.0
7.1,deallocate,9,4,1388,0.0,0.0
7.1,allocate,3,5,1394,195.0,1.6666666666666667
7.1,allocate,6,5,1392,330.0,1.6666666666666667
7.1,allocate,0,5,1396,313.33333333333337,1.6666666666666667
7.1,allocate,1,5,1393,166.66666666666669,1.6666666666666667
7.1,allocate,2,5,1397,166.66666666666669,1.6666666666666667
7.1,allocate,5,5,1398,96.66666666666669,1.6666666666666667
7.1,deallocate,3,4,1387,0.0,0.0
7.1,deallocate,2,4,1390,0.0,0.0
7.1,deallocate,6,4,1385,0.0,0.0
7.1,deallocate,1,4,1386,0.0,0.0
7.1,allocate,9,5,1395,486.6666666666667,1.6666666666666667
8.1,allocate,9,6,1171,973.3333333333334,3.333333333333333
8.1,allocate,7,6,1175,133.33333333333334,3.333333333333333
8.1,allocate,1,6,1172,333.33333333333337,3.333333333333333
8.1,allocate,3,6,1173,390.0,3.333333333333333
8.1,deallocate,9,9,1166,0.0,0.0
8.1,deallocate,3,9,1168,0.0,0.0
8.1,deallocate,1,9,1167,0.0,0.0
8.1,deallocate,2,9,1169,0.0,0.0
8.1,deallocate,7,9,1170,0.0,0.0
8.1,allocate,2,6,1174,333.33333333333337,3.333333333333333
8.8,allocate,0,1,1403,313.33333333333337,1.6666666666666667
8.8,allocate,2,1,1404,166.66666666666669,1.6666666666666667
8.8,allocate,5,1,1405,96.66666666666669,1.6666666666666667
8.8,allocate,3,1,1401,195.0,1.6666666666666667
8.8,allocate,1,1,1400,166.66666666666669,1.6666666666666667
8.8,deallocate,2,5,1397,0.0,0.0
8.8,allocate,6,1,1399,330.0,1.6666666666666667
8.8,deallocate,5,5,1398,0.0,0.0
8.8,deallocate,0,5,1396,0.0,0.0
8.8,deallocate,9,5,1395,0.0,0.0
8.8,deallocate,3,5,1394,0.0,0.0
8.8,deallocate,6,5,1392,0.0,0.0
8.8,deallocate,1,5,1393,0.0,0.0
8.8,allocate,9,1,1402,486.6666666666667,1.6666666666666667
10.5,deallocate,2,1,1404,0.0,0.0
10.5,deallocate,3,1,1401,0.0,0.0
10.5,allocate,5,3,1412,96.66666666666669,1.6666666666666667
10.5,allocate,2,3,1411,166.66666666666669,1.6666666666666667
10.5,allocate,0,3,1410,313.33333333333337,1.6666666666666667
10.5,deallocate,1,1,1400,0.0,0.0
10.5,allocate,3,3,1408,195.0,1.6666666666666667
10.5,allocate,1,3,1407,166.66666666666669,1.6666666666666667
10.5,allocate,6,3,1406,330.0,1.6666666666666667
10.5,deallocate,5,1,1405,0.0,0.0
10.5,deallocate,6,1,1399,0.0,0.0
10.5,deallocate,9,1,1402,0.0,0.0
10.5,allocate,9,3,1409,486.6666666666667,1.6666666666666667
10.5,deallocate,0,1,1403,0.0,0.0
11.5,allocate,2,3,1179,333.33333333333337,3.333333333333333
11.5,deallocate,1,6,1172,0.0,0.0
11.5,deallocate,9,6,1171,0.0,0.0
11.5,deallocate,2,6,1174,0.0,0.0
11.5,deallocate,7,6,1175,0.0,0.0
11.5,allocate,9,3,1176,973.3333333333334,3.333333333333333
11.5,allocate,7,3,1180,133.33333333333334,3.333333333333333
11.5,allocate,3,3,1178,390.0,3.333333333333333
11.5,deallocate,3,6,1173,0.0,0.0
11.5,allocate,1,3,1177,333.33333333333337,3.333333333333333
12.1,deallocate,3,3,1408,0.0,0.0
12.1,deallocate,0,3,1410,0.0,0.0
12.1,allocate,5,8,1419,96.66666666666669,1.6666666666666667
12.1,deallocate,1,3,1407,0.0,0.0
12.1,deallocate,9,3,1409,0.0,0.0
12.1,deallocate,5,3,1412,0.0,0.0
12.1,allocate,2,8,1418,166.66666666666669,1.6666666666666667
12.1,allocate,0,8,1417,313.33333333333337,1.6666666666666667
12.1,deallocate,6,3,1406,0.0,0.0
12.1,allocate,3,8,1415,195.0,1.6666666666666667
12.1,allocate,1,8,1414,166.66666666666669,1.6666666666666667
12.1,allocate,6,8,1413,330.0,1.6666666666666667
12.1,deallocate,2,3,1411,0.0,0.0
12.1,allocate,9,8,1416,486.6666666666667,1.6666666666666667
12.2,allocate,4,4,1709,960.0,10.0
12.2,allocate,8,4,1710,860.0,10.0
12.2,allocate,3,4,1711,1170.0,10.0
12.2,allocate,1,4,1713,1000.0,10.0
12.2,allocate,5,4,1714,580.0,10.0
12.2,allocate,0,4,1712,1880.0,10.0
13,allocate,5,9,4702,2900.0,50.0
13,allocate,3,9,4700,5850.0,50.0
13,allocate,1,9,4701,5000.0,50.0
13.8,deallocate,3,8,1415,0.0,0.0
13.8,deallocate,6,8,1413,0.0,0.0
13.8,deallocate,1,8,1414,0.0,0.0
13.8,deallocate,9,8,1416,0.0,0.0
13.8,deallocate,0,8,1417,0.0,0.0
13.8,deallocate,2,8,1418,0.0,0.0
13.8,deallocate,5,8,1419,0.0,0.0
13.9,allocate,8,3,740,645.0,7.5
14.0,allocate,6,9,553,1980.0,10.0
14,allocate,1,5,4675,571.4285714285714,5.714285714285714
14,allocate,5,5,4674,331.42857142857144,5.714285714285714
14,allocate,3,5,4673,668.5714285714286,5.714285714285714
14.0,deallocate,1,8,549,0.0,0.0
14,allocate,7,5,4672,228.57142857142858,5.714285714285714
14.0,allocate,8,9,557,860.0,10.0
14.0,deallocate,2,8,548,0.0,0.0
14.0,allocate,5,9,556,580.0,10.0
14.0,allocate,4,9,552,960.0,10.0
14.0,deallocate,5,8,550,0.0,0.0
14.0,deallocate,8,8,551,0.0,0.0
