NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain6_worker0_r,8,bestfit,MaxMax
domain6_worker1_r,8,bestfit,MaxMax
domain6_worker2_r,8,bestfit,MaxMax
domain6_worker3_r,8,bestfit,MaxMax
domain6_worker4_r,8,bestfit,MaxMax
domain6_worker5_r,8,bestfit,MaxMax
domain6_worker6_r,8,bestfit,MaxMax
domain6_worker7_r,8,bestfit,MaxMax
domain6_worker8_r,8,bestfit,MaxMax
domain6_worker9_r,8,bestfit,MaxMax
domain6_worker10_r,8,bestfit,MaxMax
domain6_worker11_r,8,bestfit,MaxMax
domain6_worker12_r,8,bestfit,MaxMax
domain6_worker13_r,8,bestfit,MaxMax
domain6_worker14_r,8,bestfit,MaxMax
domain6_worker15_r,8,bestfit,MaxMax
domain6_worker16_r,8,bestfit,MaxMax
domain6_worker17_r,8,bestfit,MaxMax
domain6_worker18_r,8,bestfit,MaxMax
domain6_worker19_r,8,bestfit,MaxMax
domain6_worker20_r,8,bestfit,MaxMax
domain6_worker21_r,8,bestfit,MaxMax
domain6_worker22_r,8,bestfit,MaxMax
domain6_worker23_r,8,bestfit,MaxMax
domain6_worker24_r,8,bestfit,MaxMax
domain6_worker25_r,8,bestfit,MaxMax
domain6_worker26_r,8,bestfit,MaxMax
domain6_worker27_r,8,bestfit,MaxMax
domain6_worker28_r,8,bestfit,MaxMax
domain6_worker29_r,8,bestfit,MaxMax
domain6_worker30_r,8,bestfit,MaxMax
domain6_worker31_r,8,bestfit,MaxMax
domain6_worker32_r,8,bestfit,MaxMax
domain6_worker33_r,8,bestfit,MaxMax
domain6_worker34_r,8,bestfit,MaxMax
domain6_worker35_r,8,bestfit,MaxMax
domain6_worker36_r,8,bestfit,MaxMax
domain6_worker37_r,8,bestfit,MaxMax
domain6_worker38_r,8,bestfit,MaxMax
domain6_worker39_r,8,bestfit,MaxMax
domain6_worker40_r,8,bestfit,MaxMax
domain6_worker41_r,8,bestfit,MaxMax
domain6_worker42_r,8,bestfit,MaxMax
domain6_worker43_r,8,bestfit,MaxMax
domain6_worker44_r,8,bestfit,MaxMax
domain6_worker45_r,8,bestfit,MaxMax
domain6_worker46_r,8,bestfit,MaxMax
domain6_worker47_r,8,bestfit,MaxMax
domain6_worker48_r,8,bestfit,MaxMax
domain6_worker49_r,8,bestfit,MaxMax
domain6_worker50_r,8,bestfit,MaxMax
domain6_worker51_r,8,bestfit,MaxMax
domain6_worker52_r,8,bestfit,MaxMax
domain6_worker53_r,8,bestfit,MaxMax
domain6_worker54_r,8,bestfit,MaxMax
domain6_worker55_r,8,bestfit,MaxMax
domain6_worker56_r,8,bestfit,MaxMax
