NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain5_worker0,16,worstfit,MaxMax
domain5_worker1,16,worstfit,MaxMax
domain5_worker2,16,worstfit,MaxMax
domain5_worker3,16,worstfit,MaxMax
domain5_worker4,16,worstfit,MaxMax
domain5_worker5,16,worstfit,MaxMax
domain5_worker6,16,worstfit,MaxMax
domain5_worker7,16,worstfit,MaxMax
domain5_worker8,16,worstfit,MaxMax
domain5_worker9,16,worstfit,MaxMax
domain5_worker10,16,worstfit,MaxMax
domain5_worker11,16,worstfit,MaxMax
domain5_worker12,16,worstfit,MaxMax
domain5_worker13,16,worstfit,MaxMax
domain5_worker14,16,worstfit,MaxMax
